"hotel","country","arrival_date_month","num_booking","num_cancel","distribution_channel","total_parking","total_special_request"
"City Hotel","FRA","March","12","0","Corporate","0","7"
"City Hotel","DZA","November","3","0","TA/TO","0","0"
"City Hotel","BHR","May","1","1","TA/TO","0","3"
"Resort Hotel","ALB","March","1","0","TA/TO","0","2"
"City Hotel","MOZ","January","1","1","TA/TO","0","0"
"City Hotel","ARM","January","1","0","Corporate","0","0"
"City Hotel","CZE","May","11","4","TA/TO","1","6"
"City Hotel","NLD","January","3","1","Direct","1","2"
"Resort Hotel","USA","April","12","0","Direct","6","2"
"Resort Hotel","POL","December","10","0","TA/TO","0","11"
"Resort Hotel","BRA","December","23","6","TA/TO","5","25"
"City Hotel","GIB","February","1","1","TA/TO","0","0"
"City Hotel","MAR","December","5","3","TA/TO","1","4"
"City Hotel","MNE","June","1","1","TA/TO","0","1"
"Resort Hotel","DEU","November","4","0","Direct","1","2"
"City Hotel","EGY","January","3","0","TA/TO","0","1"
"Resort Hotel","NOR","August","3","0","Direct","1","2"
"City Hotel","ITA","July","291","186","TA/TO","0","176"
"City Hotel","GRC","September","13","0","TA/TO","0","6"
"City Hotel","HUN","January","4","0","TA/TO","0","3"
"Resort Hotel","DNK","July","14","1","TA/TO","3","15"
"Resort Hotel","FIN","January","8","0","TA/TO","1","7"
"City Hotel","TUR","January","2","0","Direct","0","4"
"Resort Hotel","RUS","August","30","14","TA/TO","0","32"
"City Hotel","BEL","December","8","0","Direct","1","4"
"City Hotel","QAT","June","2","1","TA/TO","0","1"
"City Hotel","KOR","March","5","1","TA/TO","1","2"
"Resort Hotel","GBR","October","466","52","TA/TO","33","327"
"City Hotel","SWE","May","61","15","TA/TO","1","46"
"City Hotel","GBR","February","4","0","GDS","0","2"
"City Hotel","GBR","December","5","0","Corporate","0","0"
"Resort Hotel","ROU","November","2","0","Direct","0","2"
"City Hotel","CHN","October","63","45","TA/TO","0","45"
"City Hotel","IND","March","6","0","TA/TO","0","4"
"City Hotel","ESP","June","7","0","GDS","0","0"
"City Hotel","PHL","June","5","3","TA/TO","0","2"
"City Hotel","HRV","January","1","0","Direct","0","0"
"City Hotel","MOZ","December","3","0","TA/TO","0","5"
"Resort Hotel","NOR","June","16","1","TA/TO","2","14"
"Resort Hotel","GRC","January","4","0","TA/TO","0","8"
"City Hotel","ARE","December","2","2","TA/TO","0","4"
"City Hotel","DOM","October","1","0","TA/TO","0","1"
"City Hotel","NLD","December","1","0","Direct","0","2"
"City Hotel","ESP","January","230","66","TA/TO","20","154"
"City Hotel","NLD","November","11","2","Direct","0","2"
"City Hotel","AUT","November","1","0","Direct","0","0"
"Resort Hotel","HRV","September","1","0","TA/TO","0","3"
"Resort Hotel","KWT","June","1","0","TA/TO","1","1"
"Resort Hotel","USA","December","7","1","Direct","3","3"
"City Hotel","HKG","July","5","5","TA/TO","0","2"
"City Hotel","NOR","November","3","0","Corporate","0","0"
"Resort Hotel","AUS","July","15","6","TA/TO","1","9"
"City Hotel","NOR","October","39","23","TA/TO","0","24"
"Resort Hotel","SVK","May","1","1","TA/TO","0","1"
"City Hotel","NOR","May","50","17","TA/TO","0","47"
"City Hotel","FIN","December","2","1","GDS","0","0"
"City Hotel","ZAF","September","2","0","TA/TO","0","0"
"Resort Hotel","GBR","January","201","27","TA/TO","19","154"
"City Hotel","COL","August","2","1","TA/TO","0","2"
"City Hotel","FRA","June","660","148","TA/TO","11","456"
"Resort Hotel","NGA","April","1","0","TA/TO","0","0"
"City Hotel","LBN","July","3","0","TA/TO","0","3"
"Resort Hotel","GBR","September","91","1","Direct","19","13"
"City Hotel","PRT","April","144","60","Corporate","24","44"
"City Hotel","IRN","December","3","0","TA/TO","0","4"
"City Hotel","USA","August","157","66","TA/TO","1","117"
"City Hotel","POL","September","36","9","TA/TO","2","44"
"Resort Hotel","HKG","July","2","1","TA/TO","0","2"
"Resort Hotel","CMR","October","1","0","TA/TO","0","1"
"City Hotel","LTU","November","1","0","Direct","0","0"
"City Hotel","MOZ","September","1","1","TA/TO","0","0"
"Resort Hotel","BRA","October","26","10","TA/TO","7","20"
"City Hotel","DNK","February","1","0","Corporate","0","0"
"Resort Hotel","ESP","September","157","34","TA/TO","49","143"
"City Hotel","SAU","June","6","5","TA/TO","0","5"
"City Hotel","CHN","February","5","0","Direct","0","0"
"City Hotel","NOR","April","7","3","Direct","0","3"
"Resort Hotel","ROU","August","2","0","Direct","0","1"
"Resort Hotel","ISR","October","1","0","Direct","0","0"
"City Hotel","TWN","January","1","0","Direct","0","2"
"City Hotel","SWE","April","1","0","Corporate","0","0"
"City Hotel","CPV","December","1","1","TA/TO","0","1"
"City Hotel","MYS","October","1","0","Direct","0","2"
"City Hotel","PRT","August","4","4","Undefined","0","5"
"City Hotel","SGP","November","2","0","TA/TO","0","1"
"City Hotel","ARG","March","15","5","TA/TO","1","7"
"Resort Hotel","PRT","September","792","581","TA/TO","74","473"
"City Hotel","GRC","October","2","0","Direct","0","2"
"Resort Hotel","GBR","September","486","28","TA/TO","21","298"
"City Hotel","GBR","January","16","0","Direct","2","7"
"City Hotel","DOM","April","1","0","TA/TO","0","0"
"City Hotel","CHN","December","37","17","TA/TO","0","21"
"Resort Hotel","NGA","December","1","0","TA/TO","0","1"
"City Hotel","GBR","March","4","0","Corporate","0","1"
"City Hotel","GBR","January","1","0","GDS","0","0"
"Resort Hotel","DEU","March","122","3","TA/TO","12","51"
"Resort Hotel","ARG","May","2","0","Direct","0","1"
"City Hotel","FRA","June","19","0","Corporate","0","0"
"City Hotel","CPV","February","1","0","Direct","0","1"
"Resort Hotel","AUS","September","3","0","Direct","2","5"
"City Hotel","PRT","November","150","46","Direct","11","88"
"Resort Hotel","SWE","July","43","9","TA/TO","5","48"
"City Hotel","KOR","June","14","10","TA/TO","1","4"
"Resort Hotel","IDN","January","1","0","Direct","0","0"
"Resort Hotel","NLD","March","15","1","Direct","4","4"
"City Hotel","TJK","July","1","0","TA/TO","0","1"
"City Hotel","UZB","April","1","1","TA/TO","0","0"
"City Hotel","FRA","April","70","2","Direct","6","44"
"Resort Hotel","PRT","December","119","4","Corporate","21","30"
"City Hotel","CN","July","11","1","Direct","0","11"
"Resort Hotel","ESP","October","5","0","Corporate","1","0"
"City Hotel","TWN","November","8","1","TA/TO","1","7"
"Resort Hotel","AUT","March","3","0","Corporate","16","1"
"City Hotel","AZE","March","1","1","Direct","0","0"
"Resort Hotel","CN","April","10","0","TA/TO","2","6"
"Resort Hotel","FJI","May","1","1","TA/TO","0","0"
"Resort Hotel","HUN","December","2","0","TA/TO","1","0"
"Resort Hotel","ARG","May","11","4","TA/TO","4","4"
"Resort Hotel","NOR","October","1","0","Direct","0","0"
"Resort Hotel","AUT","February","2","2","TA/TO","0","0"
"Resort Hotel","IRN","January","1","0","TA/TO","0","0"
"City Hotel","DZA","February","4","2","TA/TO","0","1"
"City Hotel","TUR","August","2","0","Direct","0","0"
"City Hotel","POL","January","23","4","TA/TO","0","14"
"Resort Hotel","RUS","December","3","0","Direct","0","2"
"City Hotel","CZE","August","1","0","Direct","0","0"
"City Hotel","NZL","June","14","2","TA/TO","0","9"
"City Hotel","AUT","April","127","26","TA/TO","4","82"
"City Hotel","CUB","August","1","0","Direct","0","0"
"Resort Hotel","LTU","November","5","0","TA/TO","1","4"
"City Hotel","NGA","May","4","4","TA/TO","0","2"
"Resort Hotel","CHE","August","13","1","Direct","5","5"
"City Hotel","ESP","August","113","12","Direct","32","85"
"City Hotel","CAF","August","1","0","TA/TO","0","1"
"City Hotel","DEU","March","5","0","Corporate","0","0"
"City Hotel","ZAF","November","4","1","TA/TO","0","5"
"City Hotel","DZA","July","3","0","TA/TO","0","2"
"Resort Hotel","CHE","April","33","7","TA/TO","6","30"
"City Hotel","GBR","June","592","181","TA/TO","13","471"
"City Hotel","KAZ","January","1","1","TA/TO","0","1"
"City Hotel","ARG","October","7","2","TA/TO","0","7"
"City Hotel","ARE","September","2","2","TA/TO","0","2"
"Resort Hotel","CN","October","5","0","Direct","3","1"
"Resort Hotel","NLD","September","12","0","Direct","3","5"
"Resort Hotel","USA","July","73","11","TA/TO","13","56"
"City Hotel","PRT","October","167","26","Corporate","25","39"
"Resort Hotel","DEU","May","7","0","Direct","4","3"
"Resort Hotel","MAR","April","1","0","TA/TO","1","1"
"Resort Hotel","ESP","February","73","6","Direct","17","22"
"City Hotel","SWE","May","2","2","Direct","0","0"
"City Hotel","POL","November","39","11","TA/TO","1","38"
"City Hotel","CN","March","43","13","TA/TO","1","31"
"City Hotel","ARG","December","3","0","TA/TO","0","3"
"Resort Hotel","PHL","August","14","8","TA/TO","0","14"
"Resort Hotel","ITA","September","23","2","TA/TO","6","29"
"City Hotel","HRV","March","5","4","TA/TO","0","2"
"City Hotel","GBR","September","410","109","TA/TO","8","361"
"City Hotel","THA","April","5","2","TA/TO","0","6"
"Resort Hotel","FIN","June","1","0","Direct","0","0"
"Resort Hotel","SYC","July","1","1","TA/TO","0","1"
"Resort Hotel","ESP","March","285","20","TA/TO","62","160"
"City Hotel","MYT","August","1","1","TA/TO","0","0"
"Resort Hotel","OMN","May","1","0","TA/TO","0","0"
"City Hotel","IND","June","1","0","Corporate","0","0"
"Resort Hotel","DEU","August","4","1","Direct","2","3"
"City Hotel","RUS","October","1","0","Corporate","0","0"
"City Hotel","SLE","July","1","0","TA/TO","0","1"
"Resort Hotel","TUR","August","8","3","TA/TO","2","11"
"City Hotel","RUS","March","3","0","Direct","0","5"
"City Hotel","IRL","November","38","12","TA/TO","0","45"
"Resort Hotel","PRT","April","332","98","Direct","75","136"
"City Hotel","LIE","February","1","1","TA/TO","0","1"
"City Hotel","JPN","December","17","2","TA/TO","1","16"
"Resort Hotel","SVN","July","2","0","TA/TO","1","1"
"City Hotel","NLD","July","1","0","GDS","0","0"
"City Hotel","MOZ","August","2","1","Direct","0","0"
"City Hotel","ROU","June","1","0","GDS","0","0"
"City Hotel","UKR","November","4","3","TA/TO","0","3"
"City Hotel","GBR","November","16","1","Direct","1","12"
"City Hotel","DZA","April","7","2","TA/TO","0","2"
"Resort Hotel","DEU","August","60","24","TA/TO","4","37"
"City Hotel","IDN","January","2","2","TA/TO","0","0"
"City Hotel","FRA","November","482","34","TA/TO","4","323"
"City Hotel","DEU","February","3","0","GDS","0","0"
"Resort Hotel","BRA","February","3","0","Direct","0","1"
"City Hotel","HRV","August","5","2","TA/TO","0","6"
"Resort Hotel","JPN","July","1","0","TA/TO","0","3"
"Resort Hotel","ARG","July","5","2","TA/TO","1","1"
"City Hotel","MYT","June","1","1","TA/TO","0","1"
"City Hotel","CAF","May","1","0","TA/TO","0","1"
"Resort Hotel","AGO","August","5","4","TA/TO","0","9"
"Resort Hotel","POL","December","1","0","Direct","0","0"
"City Hotel","VEN","August","2","0","TA/TO","0","2"
"Resort Hotel","BGR","February","1","0","TA/TO","0","1"
"Resort Hotel","DNK","April","6","2","TA/TO","1","6"
"Resort Hotel","CRI","December","2","0","TA/TO","1","1"
"City Hotel","CIV","November","1","0","TA/TO","0","1"
"City Hotel","JPN","May","1","0","Direct","0","0"
"Resort Hotel","RUS","December","5","0","TA/TO","0","3"
"City Hotel","URY","April","8","2","TA/TO","1","12"
"Resort Hotel","ZAF","May","1","1","TA/TO","0","0"
"City Hotel","JPN","November","6","0","TA/TO","0","7"
"City Hotel","SWE","February","2","0","Direct","0","2"
"Resort Hotel","TUR","January","2","1","TA/TO","0","2"
"Resort Hotel","CHE","January","5","2","TA/TO","0","5"
"City Hotel","BRA","March","12","1","Direct","1","1"
"City Hotel","MUS","December","2","0","TA/TO","0","4"
"City Hotel","FIN","December","11","3","TA/TO","0","7"
"Resort Hotel","IRL","August","29","1","Direct","0","33"
"City Hotel","ITA","May","24","0","Direct","1","14"
"City Hotel","JPN","July","16","2","TA/TO","1","18"
"Resort Hotel","BRA","January","35","12","TA/TO","6","33"
"Resort Hotel","URY","June","4","1","TA/TO","3","6"
"City Hotel","FRA","December","33","2","Direct","1","23"
"Resort Hotel","BIH","February","1","0","Direct","0","0"
"Resort Hotel","JEY","November","1","1","TA/TO","0","1"
"Resort Hotel","FRA","August","156","42","TA/TO","16","152"
"City Hotel","CHE","July","10","0","Direct","0","5"
"City Hotel","ESP","February","9","0","Corporate","0","6"
"Resort Hotel","DEU","June","67","16","TA/TO","10","30"
"City Hotel","ISR","January","3","1","TA/TO","0","2"
"City Hotel","IND","October","1","0","GDS","0","0"
"City Hotel","ESP","September","31","1","Direct","1","33"
"City Hotel","KOR","April","9","2","TA/TO","1","7"
"City Hotel","MAR","January","11","6","TA/TO","0","2"
"Resort Hotel","CHL","October","1","0","TA/TO","0","0"
"Resort Hotel","IND","March","1","0","Corporate","0","0"
"City Hotel","CHN","November","52","17","TA/TO","0","28"
"City Hotel","SRB","January","2","0","TA/TO","0","0"
"Resort Hotel","AGO","October","2","0","Direct","1","0"
"Resort Hotel","THA","January","1","0","TA/TO","0","1"
"City Hotel","ESP","March","40","5","Direct","12","19"
"City Hotel","KOR","February","4","0","Direct","0","3"
"City Hotel","CN","October","2","0","Direct","0","1"
"City Hotel","SAU","May","2","2","TA/TO","0","1"
"Resort Hotel","FRA","April","119","22","TA/TO","38","123"
"City Hotel","ARG","November","6","2","TA/TO","1","5"
"City Hotel","CZE","April","9","5","TA/TO","0","9"
"City Hotel","IRQ","February","1","0","Direct","0","0"
"City Hotel","DNK","November","2","0","Corporate","0","0"
"City Hotel","BHR","August","1","1","TA/TO","0","1"
"City Hotel","MOZ","May","1","0","Direct","0","1"
"Resort Hotel","NZL","September","1","0","TA/TO","0","1"
"City Hotel","FRA","June","70","14","Direct","1","56"
"City Hotel","BGR","January","4","0","TA/TO","0","2"
"Resort Hotel","FIN","March","5","0","Direct","2","3"
"Resort Hotel","USA","February","19","3","TA/TO","3","19"
"City Hotel","GLP","December","2","2","TA/TO","0","2"
"City Hotel","SRB","March","1","0","TA/TO","0","1"
"City Hotel","NOR","June","5","0","Direct","2","7"
"Resort Hotel","DEU","February","13","1","Direct","2","4"
"Resort Hotel","EST","December","1","0","TA/TO","1","0"
"City Hotel","FRA","May","22","2","Corporate","0","1"
"City Hotel","PER","March","3","1","TA/TO","0","1"
"Resort Hotel","ESP","January","49","2","Direct","12","16"
"Resort Hotel","HUN","November","2","0","TA/TO","1","6"
"City Hotel","SAU","November","6","5","TA/TO","0","0"
"City Hotel","IRN","August","2","0","TA/TO","0","0"
"City Hotel","USA","May","27","3","Direct","1","12"
"City Hotel","MAR","September","2","1","Direct","0","0"
"City Hotel","BGR","March","5","0","TA/TO","0","4"
"City Hotel","CPV","June","2","2","TA/TO","0","0"
"Resort Hotel","NZL","April","2","0","TA/TO","1","2"
"City Hotel","LTU","December","2","0","TA/TO","0","2"
"City Hotel","CHL","June","1","0","Corporate","0","0"
"City Hotel","MOZ","July","1","0","Direct","0","0"
"City Hotel","ITA","July","6","1","Direct","1","4"
"Resort Hotel","AGO","May","2","1","TA/TO","1","1"
"Resort Hotel","ARE","June","2","2","TA/TO","0","2"
"City Hotel","EGY","June","3","0","TA/TO","0","5"
"Resort Hotel","COL","March","1","0","Direct","0","2"
"City Hotel","IRL","January","8","1","Direct","0","2"
"City Hotel","FIN","June","29","4","TA/TO","0","13"
"Resort Hotel","UGA","March","1","0","TA/TO","0","1"
"City Hotel","ITA","March","19","1","Direct","2","4"
"City Hotel","COL","October","1","0","TA/TO","0","2"
"Resort Hotel","FRA","May","128","22","TA/TO","36","106"
"Resort Hotel","HRV","July","1","0","TA/TO","0","1"
"Resort Hotel","FRA","September","9","0","Direct","4","1"
"Resort Hotel","AUS","October","1","0","Direct","0","0"
"City Hotel","AGO","February","18","12","Direct","1","3"
"City Hotel","DEU","March","491","114","TA/TO","6","287"
"Resort Hotel","ROU","April","8","0","TA/TO","2","5"
"City Hotel","IND","August","2","1","TA/TO","0","0"
"City Hotel","BRA","October","8","0","Direct","0","9"
"City Hotel","FIN","June","6","0","Direct","0","5"
"City Hotel","KOR","January","3","0","Direct","0","0"
"City Hotel","AUS","May","6","2","Direct","0","1"
"Resort Hotel","GIB","June","2","0","TA/TO","1","0"
"City Hotel","LCA","October","1","0","TA/TO","0","0"
"City Hotel","VEN","February","1","0","TA/TO","0","0"
"Resort Hotel","DNK","February","3","0","Corporate","1","0"
"Resort Hotel","FRA","April","31","1","Direct","13","9"
"Resort Hotel","AUS","January","6","3","TA/TO","0","14"
"Resort Hotel","LBN","May","1","0","Direct","0","0"
"Resort Hotel","ROU","June","1","0","Direct","1","0"
"Resort Hotel","RUS","February","4","0","TA/TO","0","4"
"City Hotel","PAN","November","3","0","TA/TO","0","1"
"City Hotel","AUT","January","17","1","TA/TO","0","14"
"City Hotel","MEX","July","1","0","Direct","0","1"
"Resort Hotel","MAR","August","31","18","TA/TO","3","25"
"Resort Hotel","CIV","March","2","0","Direct","0","2"
"Resort Hotel","CZE","April","1","0","TA/TO","0","0"
"City Hotel","MEX","August","2","0","Direct","0","0"
"Resort Hotel","ISL","July","2","0","TA/TO","2","1"
"Resort Hotel","UZB","February","1","0","Direct","0","1"
"City Hotel","AUT","March","2","0","Direct","0","0"
"Resort Hotel","PHL","June","1","1","TA/TO","0","1"
"City Hotel","CHE","December","53","15","TA/TO","0","52"
"City Hotel","DEU","June","1","1","GDS","0","0"
"City Hotel","NOR","September","32","6","TA/TO","0","28"
"Resort Hotel","FRA","August","39","2","Direct","8","28"
"City Hotel","AZE","March","7","4","TA/TO","0","2"
"City Hotel","NLD","December","1","0","GDS","0","0"
"City Hotel","PRT","July","2505","1636","TA/TO","22","732"
"City Hotel","AUS","July","45","15","TA/TO","0","34"
"Resort Hotel","CHE","February","7","1","Direct","1","1"
"City Hotel","JPN","August","19","4","TA/TO","0","20"
"City Hotel","JOR","July","2","0","Direct","0","0"
"City Hotel","IRN","January","3","2","TA/TO","0","2"
"Resort Hotel","LUX","June","1","0","Direct","1","0"
"City Hotel","ETH","March","1","1","TA/TO","0","0"
"Resort Hotel","SWE","October","57","47","TA/TO","3","9"
"City Hotel","GRC","January","4","1","TA/TO","0","0"
"City Hotel","QAT","February","1","0","Direct","0","0"
"Resort Hotel","AUS","November","3","0","Direct","2","0"
"Resort Hotel","GBR","June","41","3","Direct","11","20"
"City Hotel","BEL","March","3","0","Corporate","0","0"
"Resort Hotel","ISL","February","1","0","TA/TO","0","1"
"City Hotel","FRA","July","6","0","Corporate","0","0"
"City Hotel","SLV","July","1","0","TA/TO","0","2"
"Resort Hotel","IRL","March","13","2","Direct","0","9"
"City Hotel","NOR","August","1","0","GDS","0","0"
"City Hotel","KHM","April","2","2","TA/TO","0","0"
"City Hotel","BEL","May","187","44","TA/TO","2","177"
"Resort Hotel","CHL","October","1","0","Corporate","0","1"
"City Hotel","DNK","September","2","0","Direct","0","3"
"City Hotel","GRC","December","8","2","TA/TO","0","9"
"City Hotel","KOR","November","1","0","Direct","0","1"
"Resort Hotel","THA","September","1","0","TA/TO","0","1"
"Resort Hotel","JEY","September","1","1","TA/TO","0","1"
"Resort Hotel","NLD","November","12","0","Direct","5","2"
"City Hotel","NLD","February","12","1","Direct","2","9"
"Resort Hotel","NLD","September","29","1","TA/TO","8","28"
"City Hotel","BLR","November","1","0","Direct","0","1"
"Resort Hotel","JPN","December","2","0","TA/TO","2","4"
"Resort Hotel","ESP","March","46","2","Direct","12","22"
"Resort Hotel","ARG","October","4","0","TA/TO","2","1"
"City Hotel","EST","July","1","0","Direct","0","0"
"City Hotel","IMN","May","1","1","TA/TO","0","0"
"City Hotel","POL","October","12","0","Corporate","0","8"
"City Hotel","CHN","April","77","47","TA/TO","1","41"
"City Hotel","MAR","March","11","5","TA/TO","0","6"
"City Hotel","BEL","April","183","62","TA/TO","1","142"
"Resort Hotel","NLD","January","21","1","TA/TO","7","13"
"City Hotel","JOR","September","1","1","TA/TO","0","0"
"City Hotel","ESP","June","13","0","Corporate","0","2"
"Resort Hotel","ARG","July","3","0","Direct","2","1"
"Resort Hotel","FIN","August","1","0","TA/TO","0","2"
"City Hotel","RUS","April","1","0","Corporate","0","0"
"City Hotel","IRN","August","1","0","Direct","0","1"
"City Hotel","UKR","February","3","2","TA/TO","0","1"
"City Hotel","BLR","March","1","0","Direct","0","0"
"Resort Hotel","CUB","May","1","0","Direct","0","2"
"City Hotel","FRA","April","843","206","TA/TO","12","674"
"Resort Hotel","POL","September","1","0","Direct","0","0"
"Resort Hotel","AGO","March","1","0","TA/TO","0","2"
"City Hotel","LBN","February","3","0","TA/TO","0","3"
"City Hotel","ESP","July","40","1","Direct","8","25"
"Resort Hotel","IND","August","1","0","TA/TO","0","4"
"Resort Hotel","BWA","July","1","0","TA/TO","0","3"
"City Hotel","KEN","December","1","1","TA/TO","0","1"
"Resort Hotel","CZE","October","3","2","TA/TO","1","3"
"City Hotel","TMP","December","2","1","TA/TO","0","4"
"City Hotel","BEL","January","3","0","Direct","0","0"
"City Hotel","GRC","March","11","8","TA/TO","0","6"
"City Hotel","MYS","October","2","0","TA/TO","0","5"
"City Hotel","LBN","March","1","1","TA/TO","0","0"
"Resort Hotel","ITA","August","13","1","Direct","3","5"
"Resort Hotel","FRA","February","1","0","Corporate","0","0"
"City Hotel","MCO","February","3","0","TA/TO","0","2"
"City Hotel","JPN","June","1","0","Corporate","0","0"
"Resort Hotel","AUT","December","3","1","TA/TO","0","0"
"City Hotel","IRL","June","116","44","TA/TO","0","77"
"Resort Hotel","COM","February","1","0","TA/TO","0","2"
"Resort Hotel","SWE","June","6","1","Direct","3","6"
"Resort Hotel","GBR","May","5","0","Corporate","1","8"
"Resort Hotel","TUR","January","1","0","Direct","0","0"
"Resort Hotel","DEU","September","5","0","Corporate","0","0"
"Resort Hotel","POL","March","16","5","TA/TO","4","19"
"City Hotel","PHL","July","2","1","TA/TO","0","2"
"City Hotel","SVK","December","17","15","TA/TO","0","2"
"City Hotel","CZE","January","1","0","Direct","0","0"
"Resort Hotel","MAR","February","1","0","TA/TO","0","3"
"Resort Hotel","PRI","August","1","0","Corporate","0","0"
"Resort Hotel","MDG","January","1","0","Direct","0","0"
"Resort Hotel","BLR","December","1","1","TA/TO","0","0"
"City Hotel","BIH","April","2","0","TA/TO","0","1"
"Resort Hotel","MAR","December","5","3","TA/TO","0","6"
"City Hotel","IRN","October","3","2","TA/TO","0","5"
"City Hotel","PER","June","1","0","Direct","0","1"
"City Hotel","VEN","December","2","2","TA/TO","0","0"
"City Hotel","ITA","November","1","0","GDS","0","1"
"City Hotel","ARG","January","11","4","TA/TO","3","15"
"City Hotel","NLD","January","67","15","TA/TO","2","60"
"City Hotel","CYP","April","5","5","TA/TO","0","2"
"Resort Hotel","BRA","June","33","8","TA/TO","16","18"
"City Hotel","FRA","May","88","11","Direct","2","50"
"City Hotel","JPN","September","3","0","Direct","0","0"
"Resort Hotel","DOM","May","1","0","TA/TO","0","2"
"City Hotel","MNE","November","2","0","TA/TO","0","0"
"City Hotel","BEL","December","1","0","Corporate","0","0"
